time_s,vx_m_s,vy_m_s,vz_m_s,speed_m_s
0.000000,445.199130,-5.459291,39.760439,447.004432
0.011299,442.725051,-5.401166,39.428975,444.510166
0.022599,440.278372,-5.343685,39.100567,442.043498
0.033898,437.858640,-5.286837,38.775164,439.603973
0.045198,435.465413,-5.230612,38.452718,437.191144
0.056497,433.098258,-5.174999,38.133179,434.804578
0.067797,430.756751,-5.119989,37.816501,432.443847
0.079096,428.440478,-5.065571,37.502638,430.108534
0.090396,426.149033,-5.011737,37.191543,427.798231
0.101695,423.882019,-4.958477,36.883174,425.512539
0.112995,421.639048,-4.905782,36.577486,423.251067
0.124294,419.419739,-4.853643,36.274437,421.013432
0.135594,417.223720,-4.802050,35.973986,418.799260
0.146893,415.050627,-4.750997,35.676092,416.608183
0.158192,412.900102,-4.700473,35.380714,414.439843
0.169492,410.771795,-4.650472,35.087815,412.293887
0.180791,408.665365,-4.600985,34.797356,410.169972
0.192091,406.580476,-4.552003,34.509299,408.067759
0.203390,404.516798,-4.503520,34.223608,405.986918
0.214690,402.474012,-4.455528,33.940246,403.927125
0.225989,400.451799,-4.408019,33.659180,401.888062
0.237289,398.449852,-4.360986,33.380373,399.869419
0.248588,396.467867,-4.314423,33.103793,397.870890
0.259888,394.505548,-4.268321,32.829406,395.892177
0.271187,392.562603,-4.222674,32.557180,393.932987
0.282487,390.638746,-4.177476,32.287083,391.993032
0.293786,388.733699,-4.132720,32.019083,390.072032
0.305085,386.847186,-4.088399,31.753150,388.169709
0.316385,384.978939,-4.044507,31.489255,386.285794
0.327684,383.128692,-4.001038,31.227367,384.420020
0.338984,381.296189,-3.957987,30.967458,382.572127
0.350283,379.481173,-3.915345,30.709499,380.741860
0.361583,377.683398,-3.873109,30.453463,378.928969
0.372882,375.902617,-3.831273,30.199322,377.133206
0.384182,374.138592,-3.789829,29.947049,375.354332
0.395481,372.391087,-3.748774,29.696619,373.592110
0.406781,370.659871,-3.708102,29.448006,371.846306
0.418080,368.944717,-3.667807,29.201184,370.116693
0.429380,367.245403,-3.627884,28.956128,368.403047
0.440679,365.561710,-3.588328,28.712815,366.705149
0.451978,363.893425,-3.549134,28.471219,365.022782
0.463278,362.240336,-3.510298,28.231318,363.355736
0.474577,360.602237,-3.471813,27.993089,361.703802
0.485877,358.978926,-3.433676,27.756509,360.066776
0.497176,357.370202,-3.395881,27.521556,358.444458
0.508476,355.775870,-3.358425,27.288208,356.836650
0.519775,354.195737,-3.321302,27.056443,355.243160
0.531075,352.629616,-3.284508,26.826241,353.663797
0.542374,351.077319,-3.248039,26.597580,352.098374
0.553674,349.538666,-3.211891,26.370441,350.546709
0.564973,348.013477,-3.176059,26.144803,349.008622
0.576273,346.501576,-3.140539,25.920647,347.483935
0.587572,345.002791,-3.105327,25.697954,345.972475
0.598871,343.516950,-3.070420,25.476704,344.474070
