time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,speed_m_s,ax_m_s2,ay_m_s2,az_m_s2,a_mag_m_s2
0.000000,0.000000,0.000000,500.000000,146.848778,0.000000,68.384529,161.990764,-11.697536,0.000000,-15.254308,19.223066
0.024157,3.544027,0.000000,501.647522,146.566723,0.000000,68.016501,161.579853,-11.654255,0.000000,-15.215333,19.165804
0.048314,7.081253,0.000000,503.286166,146.285711,0.000000,67.649412,161.170569,-11.611175,0.000000,-15.176555,19.108825
0.072471,10.611702,0.000000,504.915953,146.005738,0.000000,67.283257,160.762907,-11.568294,0.000000,-15.137972,19.052129
0.096628,14.135401,0.000000,506.536906,145.726798,0.000000,66.918032,160.356860,-11.525611,0.000000,-15.099583,18.995714
0.120785,17.652375,0.000000,508.149047,145.448886,0.000000,66.553732,159.952424,-11.483127,0.000000,-15.061389,18.939578
0.144942,21.162646,0.000000,509.752399,145.171999,0.000000,66.190353,159.549591,-11.440840,0.000000,-15.023386,18.883722
0.169099,24.666242,0.000000,511.346984,144.896131,0.000000,65.827889,159.148357,-11.398749,0.000000,-14.985576,18.828142
0.193257,28.163185,0.000000,512.932823,144.621277,0.000000,65.466336,158.748716,-11.356853,0.000000,-14.947956,18.772839
0.217414,31.653502,0.000000,514.509940,144.347432,0.000000,65.105690,158.350662,-11.315153,0.000000,-14.910526,18.717811
0.241571,35.137215,0.000000,516.078356,144.074593,0.000000,64.745946,157.954189,-11.273647,0.000000,-14.873285,18.663057
0.265728,38.614349,0.000000,517.638092,143.802754,0.000000,64.387099,157.559292,-11.232334,0.000000,-14.836232,18.608576
0.289885,42.084928,0.000000,519.189170,143.531911,0.000000,64.029144,157.165966,-11.191213,0.000000,-14.799366,18.554366
0.314042,45.548976,0.000000,520.731611,143.262059,0.000000,63.672078,156.774204,-11.150285,0.000000,-14.762686,18.500426
0.338199,49.006518,0.000000,522.265438,142.993193,0.000000,63.315896,156.384002,-11.109548,0.000000,-14.726192,18.446755
0.362356,52.457576,0.000000,523.790671,142.725309,0.000000,62.960594,155.995354,-11.069001,0.000000,-14.689882,18.393353
