time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,speed_m_s,ax_m_s2,ay_m_s2,az_m_s2,a_mag_m_s2
0.000000,0.000000,0.000000,500.000000,439.680464,-8.089814,21.594994,440.284793,-103.952336,6.641191,-14.912640,105.226330
0.007682,3.374471,-0.061949,500.165449,438.883374,-8.038891,21.480578,439.482258,-103.574906,6.617078,-14.876340,104.846804
0.015364,6.742830,-0.123507,500.330019,438.089176,-7.988152,21.366440,438.682644,-103.199528,6.593096,-14.840237,104.469346
0.023045,10.105100,-0.184676,500.493715,437.297854,-7.937597,21.252578,437.885934,-102.826189,6.569245,-14.804330,104.093940
0.030727,13.461301,-0.245457,500.656536,436.509392,-7.887224,21.138992,437.092112,-102.454874,6.545523,-14.768618,103.720573
0.038409,16.811457,-0.305852,500.818486,435.723775,-7.837034,21.025679,436.301165,-102.085568,6.521929,-14.733099,103.349228
0.046091,20.155588,-0.365863,500.979567,434.940987,-7.787024,20.912638,435.513074,-101.718257,6.498462,-14.697772,102.979893
0.053773,23.493718,-0.425489,501.139780,434.161012,-7.737194,20.799868,434.727827,-101.352926,6.475123,-14.662635,102.612551
0.061454,26.825866,-0.484734,501.299128,433.383837,-7.687542,20.687367,433.945406,-100.989561,6.451908,-14.627688,102.247190
0.069136,30.152055,-0.543598,501.457613,432.609446,-7.638069,20.575134,433.165798,-100.628148,6.428819,-14.592928,101.883794
0.076818,33.472306,-0.602083,501.615236,431.837823,-7.588772,20.463167,432.388987,-100.268674,6.405853,-14.558355,101.522350
0.084500,36.786640,-0.660189,501.772001,431.068954,-7.539652,20.351465,431.614958,-99.911124,6.383010,-14.523966,101.162844
0.092182,40.095078,-0.717919,501.927908,430.302825,-7.490706,20.240026,430.843696,-99.555484,6.360290,-14.489762,100.805262
0.099863,43.397642,-0.775274,502.082961,429.539420,-7.441935,20.128849,430.075187,-99.201741,6.337690,-14.455740,100.449590
0.107545,46.694351,-0.832254,502.237160,428.778725,-7.393336,20.017934,429.309416,-98.849883,6.315211,-14.421899,100.095816
0.115227,49.985228,-0.888862,502.390509,428.020726,-7.344910,19.907277,428.546368,-98.499894,6.292851,-14.388238,99.743924
0.122909,53.270292,-0.945099,502.543008,427.265409,-7.296655,19.796878,427.786030,-98.151762,6.270610,-14.354755,99.393903
0.130590,56.549564,-1.000966,502.694661,426.512759,-7.248571,19.686736,427.028386,-97.805475,6.248487,-14.321450,99.045739
0.138272,59.823064,-1.056463,502.845468,425.762761,-7.200656,19.576849,426.273423,-97.461018,6.226481,-14.288321,98.699419
0.145954,63.090814,-1.111594,502.995432,425.015403,-7.152909,19.467216,425.521127,-97.118380,6.204591,-14.255367,98.354929
0.153636,66.352832,-1.166358,503.144555,424.270670,-7.105331,19.357835,424.771483,-96.777546,6.182816,-14.222586,98.012258
0.161318,69.609140,-1.220758,503.292838,423.528548,-7.057919,19.248705,424.024478,-96.438506,6.161156,-14.189978,97.671392
0.168999,72.859757,-1.274794,503.440285,422.789024,-7.010673,19.139825,423.280098,-96.101246,6.139609,-14.157541,97.332318
0.176681,76.104702,-1.328467,503.586895,422.052084,-6.963592,19.031194,422.538329,-95.765753,6.118175,-14.125274,96.995025
0.184363,79.343997,-1.381780,503.732673,421.317714,-6.916675,18.922810,421.799158,-95.432016,6.096854,-14.093176,96.659500
0.192045,82.577660,-1.434733,503.877618,420.585901,-6.869922,18.814672,421.062570,-95.100022,6.075644,-14.061246,96.325730
0.199727,85.805712,-1.487327,504.021734,419.856632,-6.823332,18.706779,420.328554,-94.769759,6.054545,-14.029482,95.993704
0.207408,89.028171,-1.539564,504.165022,419.129894,-6.776902,18.599128,419.597094,-94.441216,6.033555,-13.997883,95.663409
0.215090,92.245057,-1.591445,504.307484,418.405672,-6.730634,18.491720,418.868179,-94.114379,6.012674,-13.966448,95.334833
0.222772,95.456389,-1.642971,504.449122,417.683955,-6.684526,18.384553,418.141795,-93.789238,5.991902,-13.935177,95.007964
0.230454,98.662187,-1.694144,504.589937,416.964729,-6.638577,18.277626,417.417929,-93.465781,5.971237,-13.904067,94.682791
0.238136,101.862469,-1.744964,504.729932,416.247981,-6.592786,18.170937,416.696567,-93.143996,5.950680,-13.873119,94.359303
0.245817,105.057255,-1.795433,504.869109,415.533698,-6.547153,18.064484,415.977698,-92.823872,5.930228,-13.842329,94.037486
0.253499,108.246563,-1.845552,505.007468,414.821869,-6.501676,17.958268,415.261308,-92.505397,5.909881,-13.811699,93.717331
0.261181,111.430413,-1.895322,505.145013,414.112480,-6.456356,17.852287,414.547385,-92.188559,5.889640,-13.781226,93.398825
0.268863,114.608823,-1.944745,505.281744,413.405518,-6.411190,17.746539,413.835916,-91.873349,5.869502,-13.750910,93.081958
0.276545,117.781811,-1.993821,505.417664,412.700971,-6.366179,17.641023,413.126888,-91.559754,5.849467,-13.720748,92.766717
0.284226,120.949396,-2.042553,505.552774,411.998827,-6.321321,17.535739,412.420289,-91.247764,5.829535,-13.690741,92.453093
0.291908,124.111597,-2.090940,505.687076,411.299074,-6.276616,17.430684,411.716107,-90.937368,5.809705,-13.660888,92.141073
0.299590,127.268431,-2.138984,505.820572,410.601699,-6.232063,17.325858,411.014330,-90.628555,5.789976,-13.631186,91.830648
0.307272,130.419918,-2.186687,505.953264,409.906691,-6.187661,17.221260,410.314945,-90.321314,5.770347,-13.601636,91.521807
0.314954,133.566074,-2.234050,506.085153,409.214036,-6.143409,17.116888,409.617940,-90.015634,5.750818,-13.572236,91.214538
0.322635,136.706919,-2.281072,506.216241,408.523724,-6.099307,17.012741,408.923303,-89.711505,5.731388,-13.542985,90.908831
0.330317,139.842470,-2.327757,506.346531,407.835742,-6.055354,16.908818,408.231022,-89.408917,5.712057,-13.513882,90.604675
0.337999,142.972745,-2.374105,506.476022,407.150078,-6.011549,16.805119,407.541086,-89.107860,5.692823,-13.484927,90.302061
0.345681,146.097761,-2.420116,506.604718,406.466721,-5.967892,16.701641,406.853482,-88.808322,5.673687,-13.456117,90.000977
0.353362,149.217537,-2.465793,506.732620,405.785660,-5.924381,16.598384,406.168200,-88.510293,5.654647,-13.427453,89.701413
0.361044,152.332090,-2.511137,506.859729,405.106882,-5.881016,16.495347,405.485226,-88.213765,5.635702,-13.398933,89.403360
0.368726,155.441438,-2.556147,506.986048,404.430376,-5.837796,16.392528,404.804550,-87.918726,5.616853,-13.370556,89.106808
0.376408,158.545597,-2.600826,507.111578,403.756131,-5.794721,16.289927,404.126161,-87.625166,5.598099,-13.342321,88.811745
0.384090,161.644586,-2.645175,507.236320,403.084135,-5.751789,16.187542,403.450046,-87.333077,5.579438,-13.314228,88.518162
0.391771,164.738421,-2.689195,507.360277,402.414378,-5.709000,16.085372,402.776195,-87.042447,5.560871,-13.286275,88.226050
0.399453,167.827120,-2.732886,507.483450,401.746848,-5.666354,15.983417,402.104597,-86.753268,5.542396,-13.258461,87.935399
0.407135,170.910700,-2.776251,507.605840,401.081533,-5.623849,15.881674,401.435239,-86.465529,5.524013,-13.230786,87.646198
0.414817,173.989177,-2.819289,507.727450,400.418423,-5.581485,15.780144,400.768112,-86.179221,5.505722,-13.203249,87.358439
