time_s,vx_m_s,vy_m_s,vz_m_s,speed_m_s
0.000000,440.787594,-2.017608,21.518971,441.317164
0.007657,439.990570,-2.004918,21.405034,440.515490
0.015315,439.196430,-1.992275,21.291373,439.716722
0.022972,438.405158,-1.979678,21.177986,438.920846
0.030629,437.616738,-1.967126,21.064873,438.127845
0.038286,436.831156,-1.954619,20.952031,437.337704
0.045944,436.048396,-1.942157,20.839459,436.550408
0.053601,435.268442,-1.929739,20.727156,435.765941
0.061258,434.491280,-1.917366,20.615121,434.984289
0.068915,433.716894,-1.905038,20.503351,434.205436
0.076573,432.945270,-1.892753,20.391845,433.429367
0.084230,432.176393,-1.880512,20.280603,432.656069
0.091887,431.410248,-1.868314,20.169622,431.885525
0.099545,430.646821,-1.856160,20.058901,431.117721
0.107202,429.886098,-1.844049,19.948439,430.352643
0.114859,429.128063,-1.831981,19.838234,429.590277
0.122516,428.372703,-1.819955,19.728286,428.830608
0.130174,427.620004,-1.807971,19.618592,428.073622
0.137831,426.869951,-1.796030,19.509152,427.319304
0.145488,426.122531,-1.784131,19.399964,426.567642
0.153145,425.377729,-1.772273,19.291026,425.818620
0.160803,424.635533,-1.760457,19.182338,425.072225
0.168460,423.895927,-1.748682,19.073898,424.328444
0.176117,423.158900,-1.736948,18.965704,423.587263
0.183775,422.424437,-1.725255,18.857756,422.848668
0.191432,421.692525,-1.713602,18.750053,422.112647
0.199089,420.963150,-1.701990,18.642592,421.379184
0.206746,420.236300,-1.690418,18.535373,420.648268
0.214404,419.511962,-1.678887,18.428394,419.919886
0.222061,418.790121,-1.667394,18.321655,419.194023
0.229718,418.070766,-1.655942,18.215154,418.470668
0.237375,417.353884,-1.644529,18.108889,417.749807
0.245033,416.639462,-1.633155,18.002860,417.031427
0.252690,415.927487,-1.621819,17.897065,416.315517
0.260347,415.217946,-1.610523,17.791503,415.602062
0.268005,414.510828,-1.599265,17.686173,414.891052
0.275662,413.806120,-1.588046,17.581074,414.182473
0.283319,413.103808,-1.576865,17.476204,413.476312
0.290976,412.403883,-1.565722,17.371563,412.772559
0.298634,411.706330,-1.554616,17.267148,412.071199
0.306291,411.011138,-1.543548,17.162960,411.372223
0.313948,410.318296,-1.532518,17.058997,410.675616
0.321605,409.627790,-1.521524,16.955258,409.981368
0.329263,408.939610,-1.510568,16.851741,409.289467
0.336920,408.253744,-1.499649,16.748445,408.599901
