time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,speed_m_s,ax_m_s2,ay_m_s2,az_m_s2,a_mag_m_s2
0.000000,0.000000,0.000000,500.000000,102.150230,-17.951603,142.825893,176.511091,-9.180097,3.410657,-22.642561,24.669665
0.044673,4.554181,-0.798550,506.357859,101.741644,-17.799802,141.817381,175.443337,-9.112474,3.385533,-22.508851,24.518307
0.089345,9.090178,-1.590344,512.670798,101.336068,-17.649120,140.814819,174.382634,-9.045297,3.360575,-22.376186,24.368105
0.134018,13.608122,-2.375432,518.939082,100.933482,-17.499548,139.818159,173.328935,-8.978567,3.335783,-22.244565,24.219058
0.178691,18.108149,-3.153862,525.162974,100.533869,-17.351081,138.827357,172.282192,-8.912284,3.311157,-22.113985,24.071164
0.223363,22.590390,-3.925685,531.342734,100.137206,-17.203710,137.842364,171.242357,-8.846448,3.286697,-21.984445,23.924420
0.268036,27.054977,-4.690948,537.478621,99.743474,-17.057427,136.863136,170.209384,-8.781060,3.262404,-21.855942,23.778824
0.312708,31.502039,-5.449701,543.570890,99.352653,-16.912227,135.889624,169.183223,-8.716118,3.238276,-21.728473,23.634375
0.357381,35.931707,-6.201992,549.619798,98.964723,-16.768100,134.921784,168.163830,-8.651623,3.214314,-21.602035,23.491069
0.402054,40.344110,-6.947867,555.625595,98.579665,-16.625041,133.959570,167.151155,-8.587574,3.190519,-21.476625,23.348903
0.446726,44.739375,-7.687376,561.588532,98.197458,-16.483040,133.002935,166.145153,-8.523972,3.166889,-21.352240,23.207875
0.491399,49.117629,-8.420564,567.508858,97.818082,-16.342092,132.051833,165.145777,-8.460815,3.143424,-21.228877,23.067980
0.536072,53.478998,-9.147480,573.386818,97.441517,-16.202188,131.106220,164.152981,-8.398102,3.120125,-21.106531,22.929216
0.580744,57.823607,-9.868168,579.222657,97.067745,-16.063321,130.166050,163.166718,-8.335834,3.096990,-20.985199,22.791578
0.625417,62.151581,-10.582676,585.016617,96.696744,-15.925484,129.231277,162.186942,-8.274008,3.074020,-20.864877,22.655063
0.670089,66.463043,-11.291050,590.768938,96.328495,-15.788669,128.301857,161.213608,-8.212625,3.051215,-20.745560,22.519667
0.714762,70.758116,-11.993334,596.479858,95.962978,-15.652870,127.377745,160.246671,-8.151683,3.028573,-20.627246,22.385385
0.759435,75.036920,-12.689574,602.149613,95.600174,-15.518078,126.458896,159.286083,-8.091181,3.006095,-20.509928,22.252213
0.804107,79.299577,-13.379816,607.778437,95.240063,-15.384287,125.545266,158.331802,-8.031118,2.983780,-20.393604,22.120147
0.848780,83.546207,-14.064102,613.366563,94.882625,-15.251489,124.636810,157.383782,-7.971492,2.961627,-20.278268,21.989181
0.893453,87.776929,-14.742479,618.914221,94.527841,-15.119677,123.733484,156.441978,-7.912303,2.939637,-20.163915,21.859311
0.938125,91.991860,-15.414988,624.421638,94.175692,-14.988844,122.835245,155.506347,-7.853549,2.917808,-20.050541,21.730533
0.982798,96.191119,-16.081675,629.889042,93.826158,-14.858983,121.942049,154.576843,-7.795228,2.896140,-19.938141,21.602840
1.027470,100.374820,-16.742582,635.316656,93.479219,-14.730086,121.053852,153.653425,-7.737339,2.874633,-19.826710,21.476228
1.072143,104.543081,-17.397753,640.704703,93.134857,-14.602146,120.170612,152.736047,-7.679880,2.853285,-19.716243,21.350692
1.116816,108.696016,-18.047229,646.053403,92.793052,-14.475156,119.292285,151.824668,-7.622850,2.832097,-19.606734,21.226225
1.161488,112.833738,-18.691053,651.362974,92.453785,-14.349109,118.418829,150.919245,-7.566247,2.811068,-19.498178,21.102824
1.206161,116.956360,-19.329267,656.633635,92.117037,-14.223998,117.550201,150.019734,-7.510069,2.790196,-19.390571,20.980481
1.250834,121.063995,-19.961913,661.865598,91.782790,-14.099816,116.686360,149.126094,-7.454315,2.769482,-19.283906,20.859191
1.295506,125.156753,-20.589033,667.059077,91.451023,-13.976555,115.827262,148.238283,-7.398982,2.748924,-19.178178,20.738950
1.340179,129.234746,-21.210666,672.214284,91.121719,-13.854210,114.972867,147.356259,-7.344069,2.728522,-19.073382,20.619750
1.384851,133.298082,-21.826854,677.331426,90.794799,-13.732750,114.123056,146.479882,-7.298393,2.711553,-18.980598,20.515412
1.429524,137.346852,-22.437630,682.410688,90.469431,-13.611867,113.276771,145.607788,-7.268265,2.700359,-18.907594,20.435673
1.474197,141.381117,-23.043017,687.452216,90.145417,-13.491487,112.433754,144.739647,-7.237850,2.689059,-18.834398,20.355640
1.518869,145.400937,-23.643038,692.456158,89.822768,-13.371614,111.594010,143.875476,-7.207158,2.677656,-18.761029,20.275335
1.563542,149.406375,-24.237715,697.422660,89.501495,-13.252253,110.757547,143.015293,-7.176202,2.666155,-18.687506,20.194780
1.608215,153.397492,-24.827071,702.351868,89.181612,-13.133407,109.924372,142.159114,-7.144993,2.654560,-18.613848,20.113999
1.652887,157.374349,-25.411130,707.243930,88.863128,-13.015081,109.094490,141.306955,-7.113542,2.642875,-18.540074,20.033013
1.697560,161.337011,-25.989915,712.098992,88.546054,-12.897280,108.267906,140.458830,-7.081859,2.631104,-18.466201,19.951843
1.742232,165.285540,-26.563449,716.917202,88.230401,-12.780006,107.444624,139.614753,-7.049956,2.619251,-18.392248,19.870509
1.786905,169.220000,-27.131756,721.698708,87.916177,-12.663263,106.624647,138.774737,-7.017843,2.607320,-18.318232,19.789034
1.831578,173.140454,-27.694859,726.443657,87.603393,-12.547055,105.807977,137.938795,-6.985529,2.595315,-18.244170,19.707436
1.876250,177.046968,-28.252784,731.152198,87.292056,-12.431385,104.994617,137.106936,-6.953027,2.583239,-18.170079,19.625735
1.920923,180.939607,-28.805553,735.824477,86.982175,-12.316256,104.184567,136.279173,-6.920344,2.571097,-18.095975,19.543951
1.965596,184.818435,-29.353191,740.460644,86.673759,-12.201671,103.377828,135.455515,-6.887492,2.558892,-18.021873,19.462101
2.010268,188.683517,-29.895722,745.060845,86.366813,-12.087632,102.574398,134.635970,-6.854480,2.546627,-17.947790,19.380206
2.054941,192.534921,-30.433171,749.625228,86.061346,-11.974143,101.774277,133.820547,-6.821317,2.534306,-17.873741,19.298282
2.099613,196.372712,-30.965563,754.153942,85.757363,-11.861205,100.977464,133.009254,-6.788012,2.521932,-17.799739,19.216347
2.144286,200.196957,-31.492922,758.647134,85.454871,-11.748821,100.183954,132.202097,-6.754576,2.509510,-17.725801,19.134418
2.188959,204.007721,-32.015273,763.104952,85.153876,-11.636993,99.393746,131.399083,-6.721016,2.497041,-17.651939,19.052512
2.233631,207.805073,-32.532640,767.527543,84.854382,-11.525723,98.606836,130.600216,-6.687342,2.484530,-17.578167,18.970646
2.278304,211.589080,-33.045050,771.915054,84.556395,-11.415012,97.823219,129.805503,-6.653562,2.471980,-17.504500,18.888835
2.322977,215.359808,-33.552526,776.267632,84.259919,-11.304864,97.042890,129.014947,-6.619684,2.459394,-17.430949,18.807095
2.367649,219.117326,-34.055094,780.585424,83.964959,-11.195278,96.265845,128.228551,-6.585718,2.446774,-17.357527,18.725440
2.412322,222.861701,-34.552779,784.868577,83.671518,-11.086256,95.492076,127.446320,-6.551670,2.434125,-17.284247,18.643887
2.456994,226.593002,-35.045607,789.117236,83.379599,-10.977801,94.721577,126.668255,-6.517550,2.421448,-17.211120,18.562449
2.501667,230.311295,-35.533602,793.331548,83.089207,-10.869912,93.954341,125.894358,-6.483364,2.408747,-17.138159,18.481140
2.546340,234.016651,-36.016790,797.511659,82.800343,-10.762591,93.190361,125.124632,-6.449120,2.396024,-17.065373,18.399974
2.591012,237.709136,-36.495197,801.657713,82.513009,-10.655839,92.429628,124.359076,-6.414826,2.383283,-16.992776,18.318964
2.635685,241.388819,-36.968847,805.769856,82.227209,-10.549656,91.672134,123.597692,-6.380489,2.370526,-16.920376,18.238124
2.680358,245.055769,-37.437767,809.848231,81.942943,-10.444044,90.917870,122.840478,-6.346116,2.357756,-16.848184,18.157465
2.725030,248.710055,-37.901981,813.892983,81.660214,-10.339002,90.166826,122.087436,-6.311715,2.344975,-16.776211,18.076999
2.769703,252.351744,-38.361516,817.904257,81.379022,-10.234532,89.418992,121.338563,-6.277291,2.332185,-16.704466,17.996740
2.814375,255.980907,-38.816397,821.882193,81.099368,-10.130632,88.674358,120.593859,-6.242852,2.319390,-16.632958,17.916698
2.859048,259.597611,-39.266649,825.826937,80.821253,-10.027305,87.932912,119.853322,-6.208404,2.306592,-16.561696,17.836884
2.903721,263.201925,-39.712297,829.738629,80.544677,-9.924549,87.194645,119.116950,-6.173953,2.293792,-16.490690,17.757309
2.948393,266.793918,-40.153369,833.617411,80.269639,-9.822366,86.459544,118.384740,-6.139506,2.280994,-16.419947,17.677984
2.993066,270.373659,-40.589888,837.463426,79.996141,-9.720753,85.727597,117.656689,-6.105068,2.268200,-16.349476,17.598919
3.037739,273.941216,-41.021880,841.276812,79.724180,-9.619713,84.998791,116.932794,-6.070646,2.255411,-16.279285,17.520124
3.082411,277.496659,-41.449372,845.057711,79.453757,-9.519243,84.273116,116.213052,-6.036245,2.242630,-16.209381,17.441608
3.127084,281.040055,-41.872388,848.806261,79.184870,-9.419344,83.550556,115.497459,-6.001872,2.229859,-16.139772,17.363380
3.171756,284.571474,-42.290954,852.522602,78.917518,-9.320016,82.831099,114.786011,-5.967530,2.217101,-16.070465,17.285450
3.216429,288.090983,-42.705095,856.206872,78.651699,-9.221257,82.114732,114.078703,-5.933226,2.204356,-16.001466,17.207826
3.261102,291.598652,-43.114838,859.859209,78.387412,-9.123067,81.401439,113.375531,-5.898965,2.191627,-15.932783,17.130517
3.305774,295.094549,-43.520207,863.479750,78.124654,-9.025445,80.691208,112.676489,-5.864753,2.178916,-15.864422,17.053530
