time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,speed_m_s,ax_m_s2,ay_m_s2,az_m_s2,a_mag_m_s2
0.000000,0.000000,0.000000,500.000000,440.841043,0.000000,21.514920,441.365740,-104.288158,0.000000,-14.896706,105.346721
0.007656,3.372026,0.000000,500.164282,440.044059,0.000000,21.401009,440.564158,-103.910559,0.000000,-14.860564,104.967807
0.015312,6.737961,0.000000,500.327693,439.249959,0.000000,21.287375,439.765482,-103.535008,0.000000,-14.824618,104.590952
0.022968,10.097827,0.000000,500.490235,438.458726,0.000000,21.174014,438.969696,-103.161492,0.000000,-14.788867,104.216141
0.030624,13.451647,0.000000,500.651910,437.670346,0.000000,21.060927,438.176784,-102.789994,0.000000,-14.753309,103.843358
0.038280,16.799442,0.000000,500.812720,436.884801,0.000000,20.948111,437.386731,-102.420501,0.000000,-14.717942,103.472590
0.045936,20.141233,0.000000,500.972668,436.102078,0.000000,20.835566,436.599523,-102.052998,0.000000,-14.682767,103.103822
0.053592,23.477043,0.000000,501.131755,435.322161,0.000000,20.723288,435.815142,-101.687471,0.000000,-14.647780,102.737039
0.061248,26.806892,0.000000,501.289984,434.545035,0.000000,20.611278,435.033576,-101.323906,0.000000,-14.612981,102.372229
0.068904,30.130803,0.000000,501.447356,433.770684,0.000000,20.499534,434.254807,-100.962289,0.000000,-14.578369,102.009375
0.076560,33.448795,0.000000,501.603873,432.999095,0.000000,20.388054,433.478822,-100.602606,0.000000,-14.543941,101.648465
0.084216,36.760891,0.000000,501.759538,432.230253,0.000000,20.276837,432.705606,-100.244843,0.000000,-14.509698,101.289485
0.091872,40.067111,0.000000,501.914353,431.464142,0.000000,20.165881,431.935144,-99.888986,0.000000,-14.475637,100.932421
0.099528,43.367476,0.000000,502.068319,430.700748,0.000000,20.055185,431.167421,-99.535023,0.000000,-14.441757,100.577259
0.107184,46.662006,0.000000,502.221438,429.940057,0.000000,19.944748,430.402423,-99.182939,0.000000,-14.408057,100.223987
0.114840,49.950723,0.000000,502.373713,429.182054,0.000000,19.834569,429.640135,-98.832722,0.000000,-14.374536,99.872589
0.122496,53.233648,0.000000,502.525146,428.426726,0.000000,19.724645,428.880544,-98.484357,0.000000,-14.341192,99.523055
0.130152,56.510799,0.000000,502.675738,427.674057,0.000000,19.614976,428.123635,-98.137834,0.000000,-14.308024,99.175370
0.137808,59.782199,0.000000,502.825491,426.924035,0.000000,19.505560,427.369393,-97.793137,0.000000,-14.275031,98.829521
0.145464,63.047866,0.000000,502.974408,426.176644,0.000000,19.396396,426.617806,-97.450255,0.000000,-14.242212,98.485495
0.153120,66.307821,0.000000,503.122489,425.431872,0.000000,19.287483,425.868859,-97.109175,0.000000,-14.209565,98.143281
0.160776,69.562084,0.000000,503.269738,424.689704,0.000000,19.178819,425.122538,-96.769883,0.000000,-14.177090,97.802864
0.168432,72.810675,0.000000,503.416156,423.950127,0.000000,19.070403,424.378829,-96.432369,0.000000,-14.144784,97.464233
0.176088,76.053614,0.000000,503.561745,423.213128,0.000000,18.962234,423.637720,-96.096619,0.000000,-14.112648,97.127375
0.183744,79.290920,0.000000,503.706506,422.478692,0.000000,18.854310,422.899196,-95.762621,0.000000,-14.080679,96.792278
0.191400,82.522613,0.000000,503.850442,421.746806,0.000000,18.746630,422.163244,-95.430363,0.000000,-14.048876,96.458930
0.199056,85.748713,0.000000,503.993555,421.017458,0.000000,18.639193,421.429851,-95.099833,0.000000,-14.017239,96.127318
